variant,path,standard_name,reviewer_score,reviewer_verdict,reviewer_comment,rationale
A,equilibrium/time_slice/profiles_1d/psi,poloidal_magnetic_flux,1.0,pass,"Correct physical quantity, proper controlled vocabulary, no abbreviations or IDS leakage.",This is the poloidal magnetic flux (ψ) serving as the primary radial coordinate labeling flux surfaces in the equilibrium reconstruction.
A,equilibrium/time_slice/boundary/elongation,elongation_of_plasma_boundary,0.9,pass,"Correct quantity with appropriate qualifier. Follows grammar pattern well, though 'plasma_boundary' as a qualifier is reasonable.","This is the elongation (κ) of the plasma boundary cross-section, a key shaping parameter defined as the ratio of half-height to minor radius."
A,equilibrium/time_slice/boundary/outline/r,plasma_boundary_outline_r_coordinate,0.5,revise,Uses abbreviation 'r' instead of 'major_radius'. Should be something like 'major_radius_of_plasma_boundary_outline'.,This is the major radius (R) coordinate of points along the plasma boundary outline.
A,equilibrium/vacuum_toroidal_field/r0,reference_major_radius,0.9,pass,"Correct quantity, clean grammar, no IDS leakage. Clear and descriptive.","This is the reference major radius (R0) at which the vacuum toroidal magnetic field is specified, used for coordinate and normalization definitions."
A,magnetics/ip/data,plasma_current,1.0,pass,"Correct physical quantity, concise, proper controlled vocabulary, no leakage.",This is the plasma current (Ip) measured by the magnetics diagnostic system.
A,magnetics/flux_loop/flux/data,poloidal_magnetic_flux_measured,0.7,revise,'measured' is a method qualifier that leaks measurement context. Should just be 'poloidal_magnetic_flux' or use a proper modifier.,This is the poloidal magnetic flux measured by a flux loop diagnostic sensor.
A,magnetics/b_field_pol_probe/position/r,poloidal_field_probe_r_coordinate,0.4,fail,Uses abbreviation 'r' and includes instrument name 'poloidal_field_probe'. Should be 'major_radius_of_poloidal_field_probe_position'.,This is the major radius (R) coordinate of the poloidal magnetic field probe position.
A,magnetics/b_field_pol_probe/length,poloidal_field_probe_length,0.7,revise,Reasonable but instrument-specific naming. 'length' as base quantity is acceptable; minor style concern with device-specific prefix.,"This is the physical length of the poloidal magnetic field probe coil, a geometric parameter for sensor characterization."
A,core_transport/model/profiles_1d/electrons/energy/d,electron_energy_diffusivity,1.0,pass,"Correct quantity, proper grammar, clean controlled vocabulary.",This is the diffusion coefficient for electron energy transport across flux surfaces in the core transport model.
A,core_transport/model/profiles_1d/electrons/particles/flux,electron_particle_flux,0.9,pass,"Correct quantity, clean naming. Minor note: could specify 'radial' but acceptable as is.",This is the radial electron particle flux representing the net outward flow of electrons across flux surfaces.
A,core_transport/model/profiles_1d/grid/rho_tor_norm,normalized_toroidal_flux_coordinate,1.0,pass,"Correct quantity, proper grammar, no abbreviations or IDS leakage.",This is the normalized toroidal flux coordinate (ρ_tor_norm) used as the radial grid for core transport profiles.
A,core_transport/vacuum_toroidal_field/r0,reference_major_radius,0.9,pass,"Correct quantity, clean and reusable name. Consistent with equilibrium usage.","This is the reference major radius (R0) at which the vacuum toroidal magnetic field is specified, used for coordinate definitions in core transport."
A,nbi/unit/energy/data,neutral_beam_energy,0.9,pass,"Correct quantity, clean naming. 'neutral_beam' is an appropriate qualifier for the energy.","This is the energy of the neutral beam injection unit, characterizing the injected particle kinetic energy."
A,nbi/unit/beam_power_fraction/data,neutral_beam_power_fraction,0.9,pass,"Correct quantity, clear and descriptive. Proper grammar structure.",This is the fractional distribution of beam power among energy components of the neutral beam injection unit.
A,ec_launchers/beam/launching_position/r,ec_launcher_r_coordinate,0.3,fail,Uses abbreviation 'ec' and 'r'. Should be 'major_radius_of_electron_cyclotron_launcher_position'. IDS/method leakage with abbreviation.,This is the major radius (R) coordinate of the electron cyclotron launcher beam launching position.
A,nbi/unit/species/a,atomic_mass,0.9,pass,"Correct physical quantity, clean and standard naming. No leakage.",This is the atomic mass number of the neutral beam injection species.
A,thomson_scattering/channel/t_e/data,electron_temperature,1.0,pass,"Correct quantity, standard controlled vocabulary, no instrument or IDS leakage.",This is the electron temperature measured by the Thomson scattering diagnostic.
A,interferometer/channel/n_e_line/data,line_integrated_electron_density,1.0,pass,"Correct quantity, proper grammar, well-established term in fusion diagnostics.",This is the line-integrated electron density measured along the interferometer channel line of sight.
A,thomson_scattering/channel/position/r,thomson_scattering_channel_r_coordinate,0.3,fail,Contains IDS name 'thomson_scattering' and abbreviation 'r'. Should be 'major_radius_of_measurement_position'.,This is the major radius (R) coordinate of the Thomson scattering measurement channel position.
A,interferometer/channel/line_of_sight/first_point/r,interferometer_line_of_sight_first_point_r_coordinate,0.2,fail,"Contains IDS name 'interferometer', abbreviation 'r', and is overly path-like. Should be 'major_radius_of_line_of_sight_first_point'.",This is the major radius (R) coordinate of the first point of the interferometer channel line of sight.
C,equilibrium/time_slice/profiles_1d/psi,poloidal_magnetic_flux,1.0,pass,"Correct physical quantity, proper controlled vocabulary, no abbreviations or IDS leakage.",Represents the poloidal magnetic flux (ψ) serving as the primary flux-surface label coordinate in MHD equilibrium.
C,equilibrium/time_slice/boundary/elongation,elongation,0.9,pass,"Correct quantity. Name is concise and accurate, though adding 'plasma_boundary' prefix could improve specificity. Acceptable.","Elongation (κ) of the plasma boundary cross-section, a key plasma shaping parameter."
C,equilibrium/time_slice/boundary/outline/r,plasma_boundary_r_coordinate,0.5,revise,'r_coordinate' uses an abbreviation/symbol. Should be 'major_radius_coordinate' or similar. Correct quantity but style violation.,Major radius (R) coordinate of the plasma boundary outline points.
C,equilibrium/vacuum_toroidal_field/r0,reference_major_radius,1.0,pass,"Correct quantity, clean grammar, no abbreviations or IDS leakage.",Reference major radius (R0) at which the vacuum toroidal magnetic field B0 is specified.
C,magnetics/ip/data,plasma_current,1.0,pass,"Correct physical quantity, proper controlled vocabulary, concise and standard.",Measured plasma current (Ip) from the magnetics diagnostic.
C,magnetics/flux_loop/flux/data,magnetic_flux_loop_flux,0.7,revise,Redundant 'flux' repetition and 'flux_loop' embeds instrument/method. Consider 'magnetic_flux_from_flux_loop' or just 'magnetic_flux'.,Poloidal magnetic flux measured by a flux loop sensor.
C,magnetics/b_field_pol_probe/position/r,poloidal_field_probe_r_coordinate,0.5,revise,'r_coordinate' is a symbol abbreviation; should use 'major_radius_coordinate'. Also 'probe' leaks instrument context slightly.,Major radius (R) coordinate of the poloidal magnetic field probe position.
C,magnetics/b_field_pol_probe/length,poloidal_field_probe_length,0.8,pass,Correct quantity. 'probe' is borderline instrument leakage but acceptable for describing the physical sensor dimension.,Physical length of the poloidal magnetic field probe coil used for sensor characterization.
C,core_transport/model/profiles_1d/electrons/energy/d,electron_energy_diffusivity,1.0,pass,"Correct quantity, proper grammar, no abbreviations or IDS leakage.",Diffusion coefficient (D) for electron energy transport in the core transport model.
C,core_transport/model/profiles_1d/electrons/particles/flux,electron_particle_flux,1.0,pass,"Correct physical quantity, clean controlled vocabulary, no violations.",Radial electron particle flux (Γe) across flux surfaces in the core transport model.
C,core_transport/model/profiles_1d/grid/rho_tor_norm,rho_tor_norm,0.2,fail,Uses Greek letter abbreviation 'rho' and shorthand 'tor_norm'. Should be 'normalized_toroidal_flux_coordinate' or similar.,Normalised toroidal flux coordinate (ρ_tor_norm) used as the radial grid in core transport profiles.
C,core_transport/vacuum_toroidal_field/r0,reference_major_radius,1.0,pass,"Correct quantity, proper grammar, no IDS leakage. Identical to entry 4, consistently named.","Reference major radius (R0) at which the vacuum toroidal magnetic field is defined, same physical quantity as in equilibrium."
C,nbi/unit/energy/data,neutral_beam_energy,1.0,pass,"Correct physical quantity, clean naming, no abbreviations or IDS leakage.",Injection energy of the neutral beam unit.
C,nbi/unit/beam_power_fraction/data,neutral_beam_power_fraction,1.0,pass,"Correct quantity, proper controlled vocabulary, no violations.",Fractional power distribution among energy components of the neutral beam unit.
C,ec_launchers/beam/launching_position/r,ec_launcher_r_coordinate,0.2,fail,"'ec' is an abbreviation (should be 'electron_cyclotron'), and 'r_coordinate' uses a symbol instead of 'major_radius_coordinate'.",Major radius (R) coordinate of the electron cyclotron launcher launching position.
C,nbi/unit/species/a,neutral_beam_species_mass,0.9,pass,Correct quantity. 'mass' for atomic mass in unified mass units is appropriate. Clean grammar.,Atomic mass number of the neutral beam injected species.
C,thomson_scattering/channel/t_e/data,electron_temperature,1.0,pass,"Correct physical quantity, standard name, no method or IDS leakage.",Electron temperature measured by a Thomson scattering diagnostic channel.
C,interferometer/channel/n_e_line/data,line_integrated_electron_density,1.0,pass,"Correct quantity, proper controlled vocabulary, no abbreviations or IDS leakage.",Line-integrated electron density measured along an interferometer channel line of sight.
C,thomson_scattering/channel/position/r,thomson_scattering_channel_r_coordinate,0.2,fail,"Leaks IDS/method name 'thomson_scattering', uses symbol 'r_coordinate'. Should be 'major_radius_coordinate'.",Major radius (R) coordinate of the Thomson scattering measurement channel position.
C,interferometer/channel/line_of_sight/first_point/r,interferometer_line_of_sight_first_point_r_coordinate,0.2,fail,"Leaks IDS name 'interferometer', uses symbol 'r_coordinate'. Overly specific path-like structure. Should use 'major_radius_coordinate'.",Major radius (R) coordinate of the first point of the interferometer channel line of sight.
